,isbn,variable,value
2270,9781250154194,genre_2,
2271,9780451490803,genre_2,
2272,9780062676788,genre_2,detective and mystery fiction
2273,9780525520375,genre_2,
2274,9781250151339,genre_2,
2275,9781250086082,genre_2,
2276,9780451490346,genre_2,
2277,9780451488411,genre_2,
2278,9780735214767,genre_2,
2279,9780374228194,genre_2,
2280,9780804178020,genre_2,
2281,9781501153198,genre_2,
2282,9781492656623,genre_2,
2283,9781101967386,genre_2,
2284,9780062696793,genre_2,thrillers (fiction)
2285,9780399585326,genre_2,
2286,9781501156212,genre_2,
2287,9780735218727,genre_2,
2288,9781683690139,genre_2,romance fiction
2289,9781501154645,genre_2,
2290,9780399180163,genre_2,
2291,9781631494130,genre_2,
2292,9780316556347,genre_2,
2293,9780399592867,genre_2,
2294,9780062427052,genre_2,
2295,9780451495327,genre_2,
2296,9780399587924,genre_2,
2297,9781594488405,genre_2,
2298,9780385542418,genre_2,
2299,9780425281314,genre_2,fantasy fiction
2300,9781250144843,genre_2,
2301,9781476717807,genre_2,fiction
2302,9780062389923,genre_2,psychological fiction
2303,9780451490537,genre_2,
2304,9780062686664,genre_2,psychological fiction
2305,9780812996067,genre_2,
2306,9781250074256,genre_2,
2307,9780451476203,genre_2,ghost stories
2308,9780399586934,genre_2,psychological fiction
2309,9780525522874,genre_2,
2310,9780062678966,genre_2,
2311,9780312577230,genre_2,
2312,9781250105639,genre_2,
2313,9780425284124,genre_2,
2314,9781616201340,genre_2,
2315,9780399592881,genre_2,
2316,9780399585968,genre_2,
2317,9780399590504,genre_2,
2318,9781101885963,genre_2,
2319,9781492646617,genre_2,
2320,9780735213180,genre_2,
2321,9780062678416,genre_2,
2322,9780399587665,genre_2,
2323,9781250130921,genre_2,psychological fiction
2324,9780393608533,genre_2,
2325,9780399585272,genre_2,
2326,9780765393586,genre_2,
2327,9780399562457,genre_2,domestic fiction
2328,9780399586064,genre_2,
2329,9781400069903,genre_2,
2330,9780062678102,genre_2,
2331,9780399593482,genre_2,
2332,9780062694058,genre_2,fiction
2333,9781627792769,genre_2,
2334,9780062663726,genre_2,
2335,9781250124029,genre_2,
2336,9780316435314,genre_2,domestic fiction
2337,9780553448122,genre_2,fiction
2338,9780062313119,genre_2,
2339,9781250087270,genre_2,
2340,9780062667571,genre_2,fiction
2341,9780393249897,genre_2,
2342,9781476716732,genre_2,
2343,9781101946152,genre_2,
2344,9780062663115,genre_2,fiction
2345,9781501137471,genre_2,
2346,9780451488756,genre_2,
2347,9780062693983,genre_2,
2348,9780803741492,genre_2,
2349,9780062659057,genre_2,thrillers (fiction)
2350,9780804176750,genre_2,
2351,9780735214316,genre_2,
2352,9780778328735,genre_2,
2353,9780062685346,genre_2,fiction
2354,9780735224292,genre_2,
2355,9781501162893,genre_2,
2356,9780374203108,genre_2,
2357,9781250106490,genre_2,
2358,9781524741990,genre_2,
2359,9780735223493,genre_2,
2360,9780393254815,genre_2,
2361,9780393635027,genre_2,
2362,9781250066190,genre_2,
2363,9780399178481,genre_2,
2364,9781250141439,genre_2,
2365,9781492647454,genre_2,
2366,9780385541787,genre_2,
2367,9781616205041,genre_2,
2368,9780812989465,genre_2,
2369,9781250121288,genre_2,
2370,9780399174131,genre_2,
2371,9781476789323,genre_2,
2372,9780525954460,genre_2,
2373,9780062105714,genre_2,
2374,9780385343299,genre_2,
2375,9781101985366,genre_2,
2376,9781501156007,genre_2,thrillers (fiction)
2377,9781616205225,genre_2,
2378,9781101990483,genre_2,
2379,9780425284025,genre_2,
2380,9780451495587,genre_2,
2381,9780062645227,genre_2,
2382,9780765392039,genre_2,fantasy fiction
2383,9780735216525,genre_2,
2384,9780062654199,genre_2,war stories
2385,9781501139239,genre_2,
2386,9781101987797,genre_2,
2387,9781501116841,genre_2,
2388,9780062289254,genre_2,fiction
2389,9780062661098,genre_2,
2390,9780393609394,genre_2,
2391,9780062651259,genre_2,
2392,9780735220683,genre_2,
2393,9781616206888,genre_2,
2394,9780062129383,genre_2,fiction
2395,9780778330165,genre_2,bildungsromans
2396,9781492649359,genre_2,
2397,9780307959577,genre_2,
2398,9781501160769,genre_2,
2399,9780062460226,genre_2,
2400,9780451493583,genre_2,
2401,9780385534246,genre_2,
2402,9780345527868,genre_2,
2403,9781681773643,genre_2,fiction
2404,9781101886724,genre_2,
2405,9780385350907,genre_2,
2406,9780812989403,genre_2,
2407,9780399585012,genre_2,
2408,9780062469687,genre_2,bildungsromans
2409,9781492635826,genre_2,
2410,9781101875681,genre_2,
2411,9780399574634,genre_2,
2412,9781612195971,genre_2,
2413,9780553391961,genre_2,
2414,9781101985595,genre_2,
2415,9781501154829,genre_2,
2416,9780062563668,genre_2,
2417,9780812989885,genre_2,
2418,9780062271631,genre_2,fiction
2419,9780393609097,genre_2,
2420,9780399162107,genre_2,
2421,9780399563089,genre_2,historical fiction
2422,9780425284155,genre_2,
2423,9780812998269,genre_2,
2424,9780062356260,genre_2,
2425,9781101988299,genre_2,
2426,9781101985137,genre_2,fantasy fiction
2427,9781101906750,genre_2,epistolary fiction
2428,9781101885932,genre_2,
2429,9781101905609,genre_2,detective and mystery fiction
2430,9780425285046,genre_2,thrillers (fiction)
2431,9781250105608,genre_2,
2432,9780812997279,genre_2,
2433,9781250111173,genre_2,
2434,9781616205812,genre_2,
2435,9780385353540,genre_2,
2436,9780062427021,genre_2,
2437,9780062451941,genre_2,
2438,9781400069880,genre_2,
2439,9780385541527,genre_2,
2440,9780062225559,genre_2,
